Date,Time,ML_ozone_2020,actual_ozone_2020
2020/01/01,00:00:00,0.006263882839406788,0.0044
2020/01/01,01:00:00,0.003006421911934357,0.0039
2020/01/01,02:00:00,0.002892625972295006,0.0025
2020/01/01,03:00:00,0.0028032526191988263,0.0022
2020/01/01,04:00:00,0.0035834491517362068,0.0017
2020/01/01,05:00:00,0.004965579389919076,0.0013
2020/01/01,06:00:00,0.0010461181756169621,0.0012
2020/01/01,07:00:00,0.0015076202304247592,0.0022
2020/01/01,08:00:00,0.00702344408297993,0.0068
2020/01/01,09:00:00,0.017265192841737467,0.0146
2020/01/01,10:00:00,0.02681584540892026,0.0227
2020/01/01,11:00:00,0.039830563101749976,0.0316
2020/01/01,12:00:00,0.048290202362325285,0.0393
2020/01/01,13:00:00,0.04690203126337027,0.0437
2020/01/01,14:00:00,0.05172553845153329,0.0444
2020/01/01,15:00:00,0.051474509091243084,0.0461
2020/01/01,16:00:00,0.044062909616189444,0.0399
2020/01/01,17:00:00,0.032249486619579285,0.0324
2020/01/01,18:00:00,0.01969241825108569,0.02
2020/01/01,19:00:00,0.028164667130946407,0.0298
2020/01/01,20:00:00,0.01480543916741378,0.0166
2020/01/01,21:00:00,0.009050649809252975,0.0097
2020/01/01,22:00:00,0.002926197074372563,0.0022
2020/01/01,23:00:00,0.002499354282781192,0.0015
2020/01/02,00:00:00,0.0033614838310000953,0.0013
2020/01/02,01:00:00,0.0002973750265673178,0.0012
2020/01/02,02:00:00,0.0006112998320213605,0.0012
2020/01/02,03:00:00,0.0009292670658113517,0.0011
2020/01/02,04:00:00,0.0007569874840010972,0.001
2020/01/02,05:00:00,0.0003542814930651135,0.0011
2020/01/02,06:00:00,0.0007957177862307559,0.0009
2020/01/02,07:00:00,0.0006495311979686978,0.0013
2020/01/02,08:00:00,0.001812893023505788,0.0037
2020/01/02,09:00:00,0.010045633767206689,0.013
2020/01/02,10:00:00,0.034143600842258454,0.0304
2020/01/02,11:00:00,0.035942774257152935,0.0324
2020/01/02,12:00:00,0.038949503354871996,0.0391
2020/01/02,13:00:00,0.03845034830756797,0.04
2020/01/02,14:00:00,0.038659030679144855,0.0387
2020/01/02,15:00:00,0.03484019153133052,0.0371
2020/01/02,16:00:00,0.03430808839619497,0.0345
2020/01/02,17:00:00,0.025470903910956834,0.0205
2020/01/02,18:00:00,0.0038970634758076507,0.006
2020/01/02,19:00:00,0.007320476242489985,0.0072
2020/01/02,20:00:00,0.005166220346595924,0.0032
2020/01/02,21:00:00,0.001273848246969498,0.0013
2020/01/02,22:00:00,0.0007290576132548366,0.0013
2020/01/02,23:00:00,0.0022211464323913526,0.0012
2020/01/03,00:00:00,0.000931985074632273,0.0011
2020/01/03,01:00:00,0.0007019070094144446,0.001
2020/01/03,02:00:00,0.0008326205607928512,0.0011
2020/01/03,03:00:00,0.000580668585463982,0.0008
2020/01/03,04:00:00,0.0010402963953846348,0.001
2020/01/03,05:00:00,0.0008605806827345657,0.0009
2020/01/03,06:00:00,0.0008009608015722073,0.0009
2020/01/03,07:00:00,0.00042114662928245043,0.0014
2020/01/03,08:00:00,0.00041742323339822375,0.0028
2020/01/03,09:00:00,0.00048109664255238183,0.0054
2020/01/03,10:00:00,0.011774857430554269,0.0149
2020/01/03,11:00:00,0.019472683085587018,0.02
2020/01/03,12:00:00,0.029303953781204897,0.0243
2020/01/03,13:00:00,0.030151414891854827,0.0254
