site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name ,
3674,2020-01-01,0,43.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,1,47.6,RELHUM,Percent ( % ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,2,50.6,RELHUM,Percent ( % ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,3,51.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,4,49.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,5,50.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,6,50.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,7,48.0,RELHUM,Percent ( % ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,8,44.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,9,40.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,10,36.8,RELHUM,Percent ( % ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,11,32.6,RELHUM,Percent ( % ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,12,32.4,RELHUM,Percent ( % ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,13,38.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,14,48.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,15,55.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,16,66.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,17,77.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,18,83.6,RELHUM,Percent ( % ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
