site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name ,
2484,2020-01-01,0,29.8,RELHUM,Percent ( % ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,1,30.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,2,32.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,3,31.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,4,32.6,RELHUM,Percent ( % ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,5,34.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,6,42.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,7,37.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,8,32.0,RELHUM,Percent ( % ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,9,29.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,10,28.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,11,25.8,RELHUM,Percent ( % ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,12,24.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,13,22.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,14,23.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,15,23.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,16,27.4,RELHUM,Percent ( % ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,17,43.4,RELHUM,Percent ( % ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,18,62.3,RELHUM,Percent ( % ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,19,65.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Azusa ,
