site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name ,
3168,2020-01-01,0,50.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,1,47.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,2,51.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,3,52.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,4,56.3,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,5,54.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,6,49.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,7,53.0,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,8,44.6,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,9,36.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,10,29.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,11,26.8,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,12,27.0,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,13,29.0,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,14,29.6,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,15,30.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,16,35.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,17,42.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,18,45.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,19,45.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,20,48.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,21,56.4,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,22,68.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,23,76.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,0,74.3,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,1,80.0,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,2,84.0,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,3,82.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,4,81.4,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,5,84.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,6,85.0,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,7,80.6,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,8,72.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,9,56.4,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,10,39.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,11,27.4,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,12,24.0,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,13,22.6,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,14,23.0,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,15,24.3,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,16,28.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,17,31.4,RELHUM,Percent ( % ),0,,AIRS,A60,0,Banning Airport ,
