site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name ,
2849,2020-01-01,0,40.6,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,1,39.4,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,2,41.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,3,40.8,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,4,39.4,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,5,41.8,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,6,42.4,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,7,41.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,8,38.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,9,34.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,10,31.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,11,27.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,12,24.6,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,13,24.0,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,14,24.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,15,26.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,16,30.4,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,17,40.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,18,56.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,19,67.4,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,20,73.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,21,73.8,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,22,71.0,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,23,67.0,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,0,66.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,1,67.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,2,69.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,3,71.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,4,72.0,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,5,72.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,6,72.3,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,7,66.3,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,8,65.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,9,63.6,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,10,55.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,11,46.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,12,38.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,13,37.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,14,38.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,15,39.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,16,49.8,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,17,49.3,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,18,44.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,19,45.8,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,20,42.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,21,38.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,22,37.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,23,36.4,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,0,34.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,1,33.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,2,33.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,3,35.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,4,35.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,5,37.3,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,6,37.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,7,37.6,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,8,36.4,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,9,30.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,10,22.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,11,18.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,12,20.4,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,13,21.4,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,14,21.3,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,15,23.3,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,16,28.3,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,17,38.6,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,18,41.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,19,45.4,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,20,48.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,21,45.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,22,46.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-03,23,45.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-04,0,45.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-04,1,46.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-04,2,51.6,RELHUM,Percent ( % ),0,,AIRS,A60,0,Glendora-Laurel ,
