site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name ,
2899,2020-01-01,0,48.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,1,51.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,2,45.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,3,45.6,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,4,45.8,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,5,50.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,6,56.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,7,55.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,8,46.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,9,38.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,10,32.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,11,27.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,12,25.0,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,13,24.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,14,26.4,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,15,41.3,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,16,57.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,17,62.0,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,18,67.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,19,73.3,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,20,75.4,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,21,75.4,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,22,78.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,23,81.8,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,0,85.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,1,85.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,2,88.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,3,87.6,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,4,88.8,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,5,87.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,6,88.0,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,7,85.8,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,8,75.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,9,70.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,10,62.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,11,48.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,12,36.3,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,13,36.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,14,42.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,15,55.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,16,63.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,17,66.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,18,70.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,19,72.0,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,20,73.6,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,21,77.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,22,75.1,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-02,23,74.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,0,74.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,1,75.0,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,2,71.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,3,67.8,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,4,67.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,5,60.3,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,6,58.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,7,58.8,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,8,48.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,9,40.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,10,32.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,11,28.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,12,24.6,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,13,22.6,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,14,22.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,15,27.3,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,16,38.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,17,42.8,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,18,47.0,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,19,53.6,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,20,59.7,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,21,63.2,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,22,67.4,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-03,23,68.8,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-04,0,67.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-04,1,70.5,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-04,2,65.9,RELHUM,Percent ( % ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
