site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name ,
3743,2020-01-01,0,51.39,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,1,49.98,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,2,50.19,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,3,48.93,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,4,48.24,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,5,46.31,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,6,45.23,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,7,46.45,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,8,52.35,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,9,59.06,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,10,63.08,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,11,64.37,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,12,66.30,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,13,67.31,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,14,67.32,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,15,65.81,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,16,62.53,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,17,59.81,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,18,58.72,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,19,57.98,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,20,57.28,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,21,55.89,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,22,54.45,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,23,53.15,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,0,51.63,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,1,51.97,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,2,51.94,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,3,51.91,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,4,52.11,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,5,50.47,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,6,49.17,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,7,49.68,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,8,52.84,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,9,57.67,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,10,59.72,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,11,62.63,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,12,65.89,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,13,67.68,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,14,68.31,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,15,66.00,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,16,61.83,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,17,59.82,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,18,58.08,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,19,56.24,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,20,54.90,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,21,53.48,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,22,52.77,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,23,52.14,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-03,0,50.99,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-03,1,50.51,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-03,2,48.91,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-03,3,48.28,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-03,4,47.42,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-03,5,47.32,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-03,6,46.28,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-03,7,47.57,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-03,8,54.60,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-03,9,60.29,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-03,10,63.87,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,,A60,0,Compton-700 North Bullis Road ,
