site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name ,
2849,2020-01-01,0,52.23,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,1,52.46,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,2,50.91,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,3,51.33,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,4,52.67,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,5,51.70,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,6,50.91,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,7,51.75,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,8,56.02,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,9,59.25,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,10,61.61,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,11,63.73,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,12,64.62,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,13,65.25,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,14,65.38,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,15,65.42,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,16,63.14,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,17,58.95,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,18,56.55,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,19,53.78,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,20,52.95,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,21,53.07,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,22,52.10,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-01,23,51.21,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,0,50.86,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,1,49.47,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,2,48.68,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,3,48.09,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,4,48.21,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,5,47.25,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,6,47.24,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,7,49.43,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,8,52.21,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,9,55.60,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,10,59.09,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,11,61.02,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,12,64.00,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,13,65.36,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,14,65.55,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,15,65.31,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,16,61.89,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,17,59.10,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,18,57.89,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,19,56.66,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,20,56.44,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
2849,2020-01-02,21,57.57,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Glendora-Laurel ,
