site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name ,
2899,2020-01-01,0,53.00,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,1,51.37,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,2,52.32,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,3,51.46,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,4,51.74,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,5,50.18,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,6,48.44,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,7,48.65,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,8,52.80,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,9,57.30,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,10,61.69,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,11,65.47,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,12,66.92,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,13,67.55,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,14,68.48,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,15,66.03,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,16,62.05,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,17,60.00,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,18,58.51,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,19,57.21,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,20,56.29,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,21,55.15,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
2899,2020-01-01,22,53.59,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Los Angeles-North Main Street ,
