site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name ,
2596,2020-01-01,0,49.11,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,1,47.49,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,2,45.42,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,3,44.40,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,4,43.60,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,5,43.42,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,6,41.57,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,7,43.75,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,8,49.27,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,9,55.75,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,10,60.60,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,11,63.25,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,12,64.32,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,13,65.34,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,14,66.17,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,15,65.92,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,16,62.68,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,17,60.47,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,18,58.72,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,19,56.55,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,20,54.82,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,21,52.48,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,22,49.81,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,23,47.83,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,0,46.82,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,1,44.61,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,2,43.98,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,3,43.41,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,4,42.76,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,5,41.02,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,6,41.64,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,7,42.44,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,8,47.46,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,9,54.38,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,10,64.96,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,11,68.37,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,12,70.70,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,13,71.23,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,14,70.32,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,15,68.89,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,16,67.13,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,17,64.49,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,18,61.24,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,19,57.97,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,20,56.28,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,21,54.38,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,22,56.19,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,23,50.20,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,0,50.41,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,1,47.22,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,2,46.42,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,3,45.54,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,4,45.96,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,5,45.29,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,6,45.33,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,7,46.83,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,8,54.02,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,9,59.56,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,10,67.19,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,11,70.57,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,12,70.93,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,13,72.10,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,14,72.83,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,15,72.16,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,16,69.13,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,17,66.46,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,18,63.84,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,19,59.88,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,20,56.62,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,21,53.88,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,22,52.36,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-03,23,50.26,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Riverside-Rubidoux ,
