site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name ,
3674,2020-01-01,0,078,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,1,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,2,343,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,3,083,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,4,051,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,5,047,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,6,058,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,7,071,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,8,057,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,9,070,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,10,091,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,11,343,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,12,219,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,13,207,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,14,244,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,15,234,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,16,228,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,17,236,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,18,240,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,19,163,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,20,114,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,21,105,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,22,079,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-01,23,085,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,0,052,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,1,054,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,2,058,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,3,055,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,4,065,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,5,064,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,6,061,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,7,063,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,8,074,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,9,112,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,10,235,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,11,279,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,12,271,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,13,259,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,14,238,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,15,234,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,16,258,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,17,233,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,18,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,19,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,20,045,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,21,058,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,22,053,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-02,23,054,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,0,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,1,077,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,2,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,3,054,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,4,042,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,5,048,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,6,065,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,7,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,8,111,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,9,174,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,10,195,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,11,218,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,12,217,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,13,209,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,14,217,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,15,227,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,16,241,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,17,240,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,18,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,19,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,20,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,21,086,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,22,055,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-03,23,057,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-04,0,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-04,1,062,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-04,2,048,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-04,3,050,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-04,4,062,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-04,5,053,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-04,6,051,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-04,7,051,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-04,8,087,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-04,9,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
3674,2020-01-04,10,191,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Anaheim-Pampas Lane ,
