site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name ,
2484,2020-01-01,0,030,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,1,022,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,2,018,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,3,027,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,4,020,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,5,038,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,6,110,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,7,042,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,8,027,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,9,338,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,10,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,11,200,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,12,225,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,13,246,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,14,232,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,15,218,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,16,253,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,17,253,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,18,247,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,19,226,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,20,063,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,21,024,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,22,031,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-01,23,052,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-02,0,013,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-02,1,045,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-02,2,019,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-02,3,024,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-02,4,021,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-02,5,014,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-02,6,048,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-02,7,051,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-02,8,056,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-02,9,127,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-02,10,250,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-02,11,265,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-02,12,291,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-02,13,265,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-02,14,235,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-02,15,280,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-02,16,318,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-02,17,014,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-02,18,027,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-02,19,020,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-02,20,055,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
2484,2020-01-02,21,039,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Azusa ,
