site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name ,
3168,2020-01-01,0,036,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,1,017,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,2,285,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,3,291,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,4,263,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,5,276,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,6,287,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,7,266,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,8,252,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,9,068,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,10,251,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,11,251,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,12,247,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,13,239,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,14,241,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,15,246,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,16,266,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,17,252,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,18,255,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,19,252,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,20,275,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,21,310,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,22,252,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-01,23,257,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,0,282,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,1,280,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,2,246,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,3,237,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,4,283,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,5,273,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,6,274,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,7,272,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,8,259,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,9,124,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,10,107,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,11,098,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,12,093,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,13,102,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,14,109,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,15,108,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,16,118,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,17,018,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,18,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,19,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,20,283,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,21,306,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,22,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-02,23,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-03,0,323,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-03,1,271,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-03,2,272,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-03,3,279,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-03,4,271,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-03,5,282,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-03,6,035,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-03,7,061,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-03,8,068,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
3168,2020-01-03,9,056,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Banning Airport ,
