site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name ,
3743,2020-01-01,0,028,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,1,356,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,2,022,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,3,093,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,4,00,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,5,00,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,6,00,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,7,092,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,8,36,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,9,00,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,10,123,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,11,155,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,12,156,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,13,178,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,14,215,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,15,250,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,16,261,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,17,275,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,18,266,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,19,268,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,20,00,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,21,087,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,22,099,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-01,23,067,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,0,046,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,1,055,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,2,00,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,3,061,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,4,055,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,5,00,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,6,00,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,7,078,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,8,095,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,9,109,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,10,237,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,11,285,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,12,294,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,13,230,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,14,183,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,15,225,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,16,283,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,17,289,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,18,00,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
3743,2020-01-02,19,00,WINSPD_met_fmt,Knots ( knots ),0,,,A60,0,Compton-700 North Bullis Road ,
