site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name ,
2943,2020-01-01,0,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,1,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,2,344,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,3,011,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,4,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,5,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,6,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,7,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,8,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,9,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,10,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,11,218,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,12,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,13,194,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,14,292,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,15,302,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,16,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,17,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,18,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,19,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,20,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,21,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,22,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-01,23,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-02,0,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-02,1,330,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-02,2,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-02,3,021,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-02,4,026,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-02,5,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-02,6,36,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-02,7,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-02,8,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-02,9,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-02,10,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-02,11,248,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-02,12,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-02,13,028,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-02,14,012,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-02,15,304,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-02,16,343,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-02,17,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-02,18,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
2943,2020-01-02,19,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Lake Elsinore-W Flint Street ,
