site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name ,
2017,2020-01-01,0,028,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,1,050,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,2,085,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,3,120,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,4,130,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,5,062,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,6,020,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,7,060,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,8,118,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,9,096,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,10,150,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,11,00,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,12,194,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,13,270,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,14,247,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,15,265,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,16,240,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,17,262,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,18,230,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,19,230,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,20,240,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,21,110,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,22,094,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-01,23,050,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-02,0,035,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-02,1,110,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-02,2,082,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-02,3,060,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-02,4,070,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-02,5,065,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-02,6,075,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-02,7,100,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-02,8,084,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-02,9,104,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-02,10,030,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-02,11,180,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-02,12,260,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-02,13,264,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-02,14,270,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-02,15,260,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-02,16,276,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-02,17,270,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-02,18,230,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-02,19,00,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-02,20,070,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
2017,2020-01-02,21,00,WINSPD_met_fmt,Knots ( knots ),0,y,FAA,I,-99,Los Angeles-International Airport ,
