site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name ,
2596,2020-01-01,0,039,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,1,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,2,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,3,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,4,36,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,5,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,6,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,7,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,8,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,9,131,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,10,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,11,207,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,12,297,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,13,279,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,14,272,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,15,286,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,16,278,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,17,304,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,18,325,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,19,309,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,20,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,21,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,22,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-01,23,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,0,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,1,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,2,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,3,083,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,4,325,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,5,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,6,324,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
2596,2020-01-02,7,113,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Riverside-Rubidoux ,
