site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name ,
2221,2020-04-16,15,271,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-16,16,252,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-16,17,247,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-16,18,252,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-16,19,256,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-16,20,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-16,21,100,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-16,22,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-16,23,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,0,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,1,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,2,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,3,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,4,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,5,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,6,221,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,7,220,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,8,215,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,9,231,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,10,251,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,11,242,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,12,225,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,13,296,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,14,229,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,15,255,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,16,246,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,17,238,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,18,237,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,19,267,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,20,267,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,21,238,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,22,239,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-17,23,241,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,0,231,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,1,200,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,2,249,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,3,246,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,4,286,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,5,303,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,6,311,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,7,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,8,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,9,241,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,10,227,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,11,274,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,12,298,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,13,285,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,14,292,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,15,277,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,16,291,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,17,305,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,18,272,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,19,297,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,20,295,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,21,250,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,22,213,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-18,23,220,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-19,0,243,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-19,1,243,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-19,2,246,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-19,3,224,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-19,4,227,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-19,5,237,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-19,6,259,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-19,7,252,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-19,8,244,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-19,9,254,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
2221,2020-04-19,10,234,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,San Bernardino-4th Street ,
