site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name ,
3502,2020-01-01,0,136,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,1,130,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,2,132,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,3,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,4,128,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,5,134,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,6,157,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,7,140,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,8,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,9,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,10,319,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,11,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,12,154,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,13,173,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,14,173,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,15,351,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,16,356,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,17,281,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,18,256,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,19,305,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,20,338,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,21,36,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,22,338,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-01,23,36,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,0,023,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,1,348,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,2,344,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,3,040,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,4,00,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,5,306,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,6,105,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,7,175,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,8,017,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,9,043,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,10,038,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,11,027,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,12,052,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,13,029,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,14,360,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,15,36,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,16,339,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,17,343,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,18,333,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,19,271,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,20,313,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,21,131,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,22,126,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-02,23,129,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-03,0,124,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-03,1,129,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-03,2,133,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-03,3,120,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
3502,2020-01-03,4,119,WINSPD_met_fmt,Knots ( knots ),0,,AIRS,A60,0,Santa Clarita ,
