date,time,ozone_anaheim,no_anaheim,no2_anaheim,RH_anaheim,TEMP_anaheim,WINDIR_anaheim,WINDSPEED_anaheim
2020/01/01,00:00:00,0.0039,5.8,29.2,43.7,54.19,78.0,1.0
2020/01/01,01:00:00,0.002,10.200000000000001,29.6,47.6,52.82,0.0,1.0
2020/01/01,02:00:00,0.0013,20.299999999999997,31.2,50.6,51.44,343.0,1.0
2020/01/01,03:00:00,0.0012,10.8,30.0,51.1,50.52,83.0,1.0
2020/01/01,04:00:00,0.0036,6.0,26.599999999999998,49.2,50.7,51.0,2.0
2020/01/01,05:00:00,0.0053,2.7,23.3,50.2,50.55,47.0,3.0
2020/01/01,06:00:00,0.0084,2.5,20.299999999999997,50.1,50.2,58.0,3.0
2020/01/01,07:00:00,0.0138,3.1,14.8,48.0,51.4,71.0,3.0
2020/01/01,08:00:00,0.0183,4.7,12.3,44.1,54.41,57.0,3.0
2020/01/01,09:00:00,0.0243,4.5,9.5,40.9,58.61,70.0,2.0
2020/01/01,10:00:00,0.0304,3.1,7.6,36.8,62.72,91.0,1.0
2020/01/01,11:00:00,0.0347,2.5,6.6,32.6,65.42,343.0,1.0
2020/01/01,12:00:00,0.039,2.4,5.5,32.4,66.14,219.0,2.0
2020/01/01,13:00:00,0.0438,1.4,4.8,38.9,67.4,207.0,2.0
2020/01/01,14:00:00,0.0451,1.2,4.7,48.1,66.77,244.0,4.0
2020/01/01,15:00:00,0.0446,1.0,5.0,55.5,64.86,234.0,4.0
2020/01/01,16:00:00,0.0408,0.7,5.2,66.7,61.98,228.0,5.0
2020/01/01,17:00:00,0.0358,0.7,6.0,77.9,59.39,236.0,4.0
2020/01/01,18:00:00,0.0291,1.0,9.9,83.6,58.22,240.0,2.0
2020/01/01,19:00:00,0.0225,1.1,12.1,87.4,57.45,163.0,2.0
2020/01/01,20:00:00,0.0216,1.1,12.8,89.3,57.07,114.0,1.0
2020/01/01,21:00:00,0.016,1.3,15.2,89.9,56.2,105.0,2.0
2020/01/01,22:00:00,0.0109,1.8,18.3,89.0,54.94,79.0,1.0
2020/01/01,23:00:00,0.0171,1.2,12.1,86.6,53.79,85.0,2.0
2020/01/02,00:00:00,0.0029,4.4,21.3,88.6,52.06,52.0,1.0
2020/01/02,01:00:00,0.0038,3.0,19.0,89.8,50.72,54.0,2.0
2020/01/02,02:00:00,0.0026,5.2,19.099999999999998,89.9,49.82,58.0,2.0
2020/01/02,03:00:00,0.0034,2.6,17.5,89.8,49.31,55.0,2.0
2020/01/02,04:00:00,0.002,4.8999999999999995,20.0,88.1,49.03,65.0,3.0
2020/01/02,05:00:00,0.0021,6.6,21.5,86.2,48.74,64.0,2.0
2020/01/02,06:00:00,-0.0002,27.400000000000002,24.2,86.2,48.32,61.0,3.0
2020/01/02,07:00:00,0.0009,48.599999999999994,27.7,82.9,49.95,63.0,3.0
