date,time,ozone_azusa,no_azusa,no2_azusa,RH_azusa,TEMP_azusa,WINDIR_azusa,WINDSPEED_azusa
2020/01/01,00:00:00,0.0346,1.0,4.0,29.8,56.43,30.0,5.0
2020/01/01,01:00:00,0.0343,1.1,3.6,30.2,55.88,22.0,6.0
2020/01/01,02:00:00,0.0333,0.4,2.2,32.1,54.99,18.0,5.0
2020/01/01,03:00:00,0.0337,0.2,2.1,31.9,54.54,27.0,5.0
2020/01/01,04:00:00,0.0335,0.0,1.6,32.6,54.06,20.0,7.0
2020/01/01,05:00:00,0.03,0.1,4.0,34.2,53.62,38.0,3.0
2020/01/01,06:00:00,0.0198,0.5,10.0,42.2,50.93,110.0,2.0
2020/01/01,07:00:00,0.0233,2.1,9.299999999999999,37.9,52.58,42.0,3.0
2020/01/01,08:00:00,0.032,0.7,2.3,32.0,56.21,27.0,4.0
2020/01/01,09:00:00,0.0321,0.6,2.2,29.1,59.63,338.0,2.0
2020/01/01,10:00:00,0.0315,1.6,4.8999999999999995,28.5,61.73,0.0,1.0
2020/01/01,11:00:00,0.0351,2.3,7.3,25.8,63.88,200.0,2.0
2020/01/01,12:00:00,0.04,1.4,5.7,24.2,65.5,225.0,2.0
2020/01/01,13:00:00,0.044,0.8,4.5,22.2,66.61,246.0,3.0
2020/01/01,14:00:00,0.0436,1.0,6.2,23.1,67.15,232.0,4.0
2020/01/01,15:00:00,0.0428,0.7,8.1,23.5,67.05,218.0,3.0
2020/01/01,16:00:00,0.0395,0.2,11.299999999999999,27.4,65.31,253.0,2.0
2020/01/01,17:00:00,0.0337,0.3,14.7,43.4,62.62,253.0,3.0
2020/01/01,18:00:00,0.0261,0.7,20.9,62.3,59.57,247.0,3.0
2020/01/01,19:00:00,0.0243,0.8,20.2,65.2,57.97,226.0,3.0
2020/01/01,20:00:00,0.0178,1.7,21.2,70.1,55.67,63.0,3.0
2020/01/01,21:00:00,0.0237,1.3,11.799999999999999,67.9,54.95,24.0,4.0
2020/01/01,22:00:00,0.0207,1.1,12.5,69.7,54.16,31.0,4.0
2020/01/01,23:00:00,0.0171,2.3,13.700000000000001,71.6,52.93,52.0,2.0
2020/01/02,00:00:00,0.0235,0.4,5.8,68.6,53.18,13.0,5.0
2020/01/02,01:00:00,0.0124,1.8,15.8,72.3,50.74,45.0,2.0
2020/01/02,02:00:00,0.0204,0.4,4.3,71.2,51.01,19.0,3.0
2020/01/02,03:00:00,0.0176,0.9,5.8,72.4,50.08,24.0,3.0
2020/01/02,04:00:00,0.022,0.9,3.6,68.3,50.45,21.0,5.0
2020/01/02,05:00:00,0.0217,1.1,3.4,66.4,50.38,14.0,5.0
2020/01/02,06:00:00,0.0132,6.3,13.6,71.1,49.1,48.0,3.0
2020/01/02,07:00:00,0.0154,8.4,13.100000000000001,66.2,50.81,51.0,3.0
2020/01/02,08:00:00,0.0212,6.3,9.299999999999999,60.2,54.45,56.0,2.0
2020/01/02,09:00:00,0.0193,11.1,18.3,59.3,56.9,127.0,2.0
2020/01/02,10:00:00,0.0153,23.7,28.2,56.3,58.79,250.0,2.0
2020/01/02,11:00:00,0.031,7.0,15.7,46.1,61.05,265.0,2.0
2020/01/02,12:00:00,0.0418,2.0,7.0,37.0,64.21,291.0,3.0
2020/01/02,13:00:00,0.0418,2.0,9.1,38.7,65.95,265.0,2.0
2020/01/02,14:00:00,0.041,1.7,10.6,35.9,66.89,235.0,2.0
2020/01/02,15:00:00,0.0382,1.4,13.6,36.1,66.36,280.0,2.0
2020/01/02,16:00:00,0.0234,2.4,25.3,41.0,64.56,318.0,1.0
2020/01/02,17:00:00,0.0262,21.9,15.0,51.8,61.44,14.0,4.0
2020/01/02,18:00:00,0.0291,1.1,8.7,51.9,60.29,27.0,4.0
2020/01/02,19:00:00,0.0298,0.5,5.2,50.9,59.44,20.0,4.0
2020/01/02,20:00:00,0.0215,1.7,13.4,50.2,58.64,55.0,2.0
2020/01/02,21:00:00,0.0208,1.2,13.2,50.9,57.56,39.0,3.0
2020/01/02,22:00:00,0.0298,0.2,4.0,45.8,58.08,23.0,4.0
2020/01/02,23:00:00,0.0207,1.6,13.100000000000001,47.3,56.92,52.0,3.0
2020/01/03,00:00:00,0.0303,0.3,4.3,41.6,58.21,27.0,6.0
2020/01/03,01:00:00,0.0335,-0.1,1.5,36.7,59.48,25.0,8.0
2020/01/03,02:00:00,0.0328,-0.1,2.7,35.5,59.61,30.0,7.0
2020/01/03,03:00:00,0.0315,0.0,4.6,34.8,59.42,32.0,4.0
2020/01/03,04:00:00,0.0327,0.0,2.0,35.1,59.27,24.0,6.0
2020/01/03,05:00:00,0.0206,3.9,16.6,37.6,57.62,45.0,4.0
2020/01/03,06:00:00,0.0198,9.4,18.1,35.3,58.4,51.0,4.0
2020/01/03,07:00:00,0.029,1.4,5.7,34.0,59.77,17.0,5.0
2020/01/03,08:00:00,0.0302,1.4,3.4,32.3,61.77,14.0,4.0
2020/01/03,09:00:00,0.0243,7.7,13.899999999999999,28.2,65.23,88.0,2.0
2020/01/03,10:00:00,0.0232,11.4,19.599999999999998,24.7,68.04,86.0,2.0
2020/01/03,11:00:00,0.0337,5.1000000000000005,11.299999999999999,18.7,71.45,0.0,1.0
2020/01/03,12:00:00,0.0326,5.8999999999999995,15.6,20.2,72.15,232.0,3.0
2020/01/03,13:00:00,0.0341,4.8,15.6,19.1,73.22,267.0,3.0
2020/01/03,14:00:00,0.0344,4.7,18.3,20.3,73.79,239.0,3.0
