date,time,ozone_fontana,no_fontana,no2_fontana,RH_fontana,TEMP_fontana,WINDIR_fontana,WINDSPEED_fontana
2020/01/01,00:00:00,0.0062,9.5,27.400000000000002,48.0,50.56,351.0,2.0
2020/01/01,01:00:00,0.0042,17.4,30.3,50.1,50.06,0.0,1.0
2020/01/01,02:00:00,0.0051,5.4,26.0,52.5,48.32,30.0,3.0
2020/01/01,03:00:00,0.0064,3.7,23.7,51.0,47.47,45.0,1.0
2020/01/01,04:00:00,0.0052,6.5,25.1,52.4,46.37,341.0,2.0
2020/01/01,05:00:00,0.0068,2.5,21.7,55.9,45.07,37.0,2.0
2020/01/01,06:00:00,0.0082,1.4,21.3,54.3,45.05,57.0,2.0
2020/01/01,07:00:00,0.0092,5.5,19.5,53.2,46.03,46.0,2.0
2020/01/01,08:00:00,0.0232,2.7,11.9,40.4,52.56,37.0,2.0
2020/01/01,09:00:00,0.0231,18.700000000000003,17.5,33.8,57.27,0.0,1.0
2020/01/01,10:00:00,0.03,4.1000000000000005,10.6,31.4,59.36,221.0,2.0
2020/01/01,11:00:00,0.0322,3.6,9.9,29.6,60.93,223.0,3.0
2020/01/01,12:00:00,0.0381,1.8,7.2,28.0,62.06,232.0,3.0
2020/01/01,13:00:00,0.0433,0.4,5.2,27.7,63.42,258.0,4.0
2020/01/01,14:00:00,0.0441,0.0,5.0,29.4,64.16,246.0,2.0
2020/01/01,15:00:00,0.0444,-0.2,5.7,29.4,63.96,235.0,3.0
2020/01/01,16:00:00,0.039,-0.4,9.2,33.1,61.68,248.0,3.0
2020/01/01,17:00:00,0.028,-0.4,17.6,39.2,59.48,268.0,2.0
2020/01/01,18:00:00,0.0244,0.2,18.700000000000003,48.7,57.02,322.0,2.0
2020/01/01,19:00:00,0.009,1.9,28.400000000000002,50.4,55.05,279.0,1.0
2020/01/01,20:00:00,0.0161,0.5,22.1,66.1,53.39,274.0,2.0
2020/01/01,21:00:00,0.0102,1.2,24.2,71.8,51.12,19.0,2.0
2020/01/01,22:00:00,0.0037,6.0,27.400000000000002,73.5,48.7,48.0,2.0
2020/01/01,23:00:00,0.003,14.1,28.1,73.2,47.21,27.0,2.0
2020/01/02,00:00:00,0.0034,9.299999999999999,25.5,71.7,46.21,36.0,2.0
2020/01/02,01:00:00,0.0056,2.1,24.2,74.9,45.58,46.0,2.0
2020/01/02,02:00:00,0.0057,3.1,23.2,75.8,44.31,13.0,3.0
2020/01/02,03:00:00,0.0063,1.6,22.3,75.9,43.96,17.0,3.0
2020/01/02,04:00:00,0.0041,6.5,23.400000000000002,78.6,43.28,29.0,2.0
2020/01/02,05:00:00,0.0033,8.5,26.3,78.8,43.36,13.0,3.0
2020/01/02,06:00:00,0.0029,18.599999999999998,28.9,79.2,43.97,42.0,1.0
2020/01/02,07:00:00,0.0042,30.900000000000002,27.7,81.6,44.67,77.0,1.0
2020/01/02,08:00:00,0.0091,29.0,28.400000000000002,75.3,49.12,258.0,1.0
2020/01/02,09:00:00,0.0253,17.4,15.9,47.9,57.67,40.0,7.0
2020/01/02,10:00:00,0.0402,-0.1,2.8,26.0,64.59,40.0,16.0
2020/01/02,11:00:00,0.0284,7.4,14.8,41.6,62.99,320.0,4.0
2020/01/02,12:00:00,0.0314,4.8,13.799999999999999,40.6,64.4,285.0,4.0
2020/01/02,13:00:00,0.0333,3.4,13.2,37.0,65.58,280.0,3.0
2020/01/02,14:00:00,0.033,2.1,13.700000000000001,34.1,66.43,282.0,2.0
2020/01/02,15:00:00,0.0285,2.0,18.8,36.5,65.79,257.0,2.0
2020/01/02,16:00:00,0.0217,1.4,26.5,40.0,63.79,271.0,2.0
2020/01/02,17:00:00,0.0154,0.4,27.5,46.4,60.48,349.0,2.0
2020/01/02,18:00:00,0.0253,0.5,17.7,33.5,61.66,48.0,6.0
2020/01/02,19:00:00,0.039,-0.8,5.8,21.2,63.95,61.0,11.0
2020/01/02,20:00:00,0.0395,-0.8,4.4,21.8,63.6,56.0,11.0
2020/01/02,21:00:00,0.0379,-0.9,5.5,22.2,63.4,68.0,11.0
2020/01/02,22:00:00,0.0423,-0.9,2.6,20.6,64.74,52.0,11.0
2020/01/02,23:00:00,0.0424,-0.9,2.8,20.8,64.98,32.0,13.0
2020/01/03,00:00:00,0.0427,-0.9,2.2,21.4,65.1,32.0,12.0
2020/01/03,01:00:00,0.0424,-0.9,2.1,21.9,65.05,41.0,7.0
2020/01/03,02:00:00,0.0234,-0.3,15.6,30.8,60.05,0.0,0.0
2020/01/03,03:00:00,0.0114,5.0,29.0,34.9,56.05,99.0,1.0
2020/01/03,04:00:00,0.0134,0.3,21.9,37.1,55.52,56.0,2.0
2020/01/03,05:00:00,0.0131,1.7,23.900000000000002,36.6,55.22,84.0,1.0
2020/01/03,06:00:00,0.0324,2.0,10.5,26.0,63.07,39.0,5.0
2020/01/03,07:00:00,0.014,16.5,29.0,33.3,58.58,304.0,1.0
2020/01/03,08:00:00,0.0129,19.599999999999998,30.0,33.9,59.23,0.0,1.0
2020/01/03,09:00:00,0.0159,21.9,27.799999999999997,31.9,61.86,236.0,2.0
2020/01/03,10:00:00,0.0254,8.7,18.3,25.8,65.8,0.0,1.0
2020/01/03,11:00:00,0.0309,5.0,14.1,22.4,68.5,281.0,2.0
2020/01/03,12:00:00,0.0299,6.2,16.5,22.5,69.74,268.0,3.0
2020/01/03,13:00:00,0.0358,3.5,13.2,21.7,70.93,274.0,4.0
2020/01/03,14:00:00,0.0376,2.2,11.2,21.9,71.61,268.0,4.0
2020/01/03,15:00:00,0.0313,2.5,17.7,25.1,71.24,258.0,4.0
2020/01/03,16:00:00,0.0255,1.3,25.2,30.2,68.97,249.0,4.0
2020/01/03,17:00:00,0.004,11.299999999999999,50.8,37.6,65.54,258.0,2.0
2020/01/03,18:00:00,0.0037,9.799999999999999,45.0,43.7,62.25,0.0,1.0
2020/01/03,19:00:00,0.0032,41.6,34.6,50.6,58.46,70.0,3.0
2020/01/03,20:00:00,0.0031,42.2,40.7,51.1,57.9,57.0,2.0
2020/01/03,21:00:00,0.0031,34.1,34.6,51.6,55.57,26.0,3.0
