date,time,ozone_santaClarita,no_santaClarita,no2_santaClarita,RH_santaClarita,TEMP_santaClarita,WINDIR_santaClarita,WINDSPEED_santaClarita
2020/01/01,00:00:00,0.0127,1.7,13.100000000000001,71.1,43.01,136.0,2.0
2020/01/01,01:00:00,0.0167,0.5,8.7,71.5,42.38,130.0,4.0
2020/01/01,02:00:00,0.0173,0.5,6.8999999999999995,72.0,42.05,132.0,2.0
2020/01/01,03:00:00,0.0077,1.2,13.2,78.7,40.32,0.0,1.0
2020/01/01,04:00:00,0.0105,0.7,11.2,77.8,40.27,128.0,2.0
2020/01/01,05:00:00,0.0188,0.4,6.4,72.0,40.97,134.0,3.0
2020/01/01,06:00:00,0.0139,0.9,10.0,74.2,39.89,157.0,2.0
2020/01/01,07:00:00,0.012,2.2,9.6,77.0,39.29,140.0,1.0
2020/01/01,08:00:00,0.0155,5.4,9.2,58.7,46.71,0.0,0.0
2020/01/01,09:00:00,0.0281,2.6,5.5,40.4,53.16,0.0,1.0
2020/01/01,10:00:00,0.0295,2.9,6.1000000000000005,41.9,56.56,319.0,3.0
2020/01/01,11:00:00,0.0362,2.0,4.8,35.0,62.4,0.0,0.0
2020/01/01,12:00:00,0.0428,1.3,4.3,30.1,65.46,154.0,8.0
2020/01/01,13:00:00,0.0448,1.0,4.1000000000000005,28.2,66.84,173.0,4.0
2020/01/01,14:00:00,0.0453,1.0,4.4,28.3,67.66,173.0,2.0
2020/01/01,15:00:00,0.0431,1.1,4.1000000000000005,27.3,68.98,351.0,2.0
2020/01/01,16:00:00,0.0393,0.4,2.6,34.8,66.24,356.0,6.0
2020/01/01,17:00:00,0.0356,0.4,6.3,49.7,60.1,281.0,2.0
2020/01/01,18:00:00,0.0288,0.6,9.4,51.5,58.94,256.0,1.0
2020/01/01,19:00:00,0.0301,0.7,8.5,48.9,59.81,305.0,3.0
2020/01/01,20:00:00,0.0359,0.2,2.9,51.8,61.34,338.0,4.0
2020/01/01,21:00:00,0.0383,0.2,1.0,50.9,60.84,36.0,6.0
2020/01/01,22:00:00,0.0289,0.2,4.7,55.0,56.54,338.0,3.0
2020/01/01,23:00:00,0.0225,0.3,6.6,59.2,53.89,36.0,2.0
2020/01/02,00:00:00,0.0319,0.2,2.3,56.0,55.66,23.0,2.0
2020/01/02,01:00:00,0.0365,0.2,1.6,50.7,58.06,348.0,11.0
2020/01/02,02:00:00,0.0396,0.2,0.7,49.1,59.14,344.0,14.0
2020/01/02,03:00:00,0.0286,0.1,2.6,62.5,52.06,40.0,2.0
2020/01/02,04:00:00,0.0242,0.2,4.0,61.7,51.68,0.0,1.0
2020/01/02,05:00:00,0.016,2.4,14.5,61.6,51.04,306.0,2.0
2020/01/02,06:00:00,0.0139,4.8,14.0,68.1,48.14,105.0,1.0
2020/01/02,07:00:00,0.0061,40.300000000000004,28.7,60.5,51.1,175.0,2.0
2020/01/02,08:00:00,0.0146,19.400000000000002,19.400000000000002,51.8,55.98,17.0,1.0
2020/01/02,09:00:00,0.0351,1.5,4.4,42.4,60.57,43.0,5.0
2020/01/02,10:00:00,0.0379,0.7,1.6,36.8,63.92,38.0,7.0
2020/01/02,11:00:00,0.0394,0.6,1.5,33.8,67.11,27.0,6.0
2020/01/02,12:00:00,0.0416,0.5,1.7,30.7,66.97,52.0,8.0
2020/01/02,13:00:00,0.0421,0.6,1.7,30.4,68.21,29.0,6.0
2020/01/02,14:00:00,0.0406,0.7,1.9,31.6,67.88,360.0,8.0
2020/01/02,15:00:00,0.0401,0.9,2.0,33.2,66.22,36.0,8.0
2020/01/02,16:00:00,0.0356,0.9,5.5,33.3,64.24,339.0,5.0
2020/01/02,17:00:00,0.0263,3.1,13.100000000000001,36.9,60.24,343.0,4.0
2020/01/02,18:00:00,0.0166,0.5,17.5,48.2,56.68,333.0,1.0
2020/01/02,19:00:00,0.006,8.7,29.1,50.7,55.43,271.0,2.0
2020/01/02,20:00:00,0.0056,4.0,28.0,53.2,52.94,313.0,2.0
2020/01/02,21:00:00,0.0098,1.0,21.9,60.0,50.79,131.0,1.0
2020/01/02,22:00:00,0.0138,0.4,13.0,64.3,48.05,126.0,3.0
2020/01/02,23:00:00,0.014,0.3,11.6,69.8,46.53,129.0,2.0
2020/01/03,00:00:00,0.0146,0.3,9.799999999999999,71.2,45.44,124.0,2.0
2020/01/03,01:00:00,0.0157,0.3,8.7,70.2,45.07,129.0,2.0
2020/01/03,02:00:00,0.0154,0.3,8.1,71.5,44.23,133.0,2.0
2020/01/03,03:00:00,0.0168,0.3,6.6,71.1,44.02,120.0,3.0
2020/01/03,04:00:00,0.0169,0.3,6.5,70.7,44.05,119.0,2.0
2020/01/03,05:00:00,0.0139,0.3,9.2,74.6,42.64,118.0,2.0
2020/01/03,06:00:00,0.0043,6.0,18.0,78.7,41.48,137.0,1.0
2020/01/03,07:00:00,0.0071,5.5,17.1,74.4,42.9,121.0,3.0
2020/01/03,08:00:00,0.0136,7.3,13.700000000000001,59.3,51.23,121.0,2.0
2020/01/03,09:00:00,0.0216,6.8,12.1,47.0,58.64,86.0,1.0
2020/01/03,10:00:00,0.0302,4.3,9.5,34.6,67.15,349.0,1.0
2020/01/03,11:00:00,0.0383,1.9,5.0,26.8,70.18,311.0,1.0
2020/01/03,12:00:00,0.0403,1.3,4.1000000000000005,24.1,72.21,0.0,1.0
2020/01/03,13:00:00,0.0417,1.2,4.0,22.0,73.96,0.0,0.0
2020/01/03,14:00:00,0.0428,1.0,4.2,21.3,75.84,0.0,0.0
2020/01/03,15:00:00,0.0383,2.5,11.799999999999999,25.2,74.19,173.0,5.0
2020/01/03,16:00:00,0.0338,1.0,15.299999999999999,29.3,69.72,174.0,5.0
2020/01/03,17:00:00,0.0206,0.9,23.900000000000002,40.3,64.83,344.0,1.0
2020/01/03,18:00:00,0.0173,1.9,21.0,47.5,59.06,0.0,1.0
2020/01/03,19:00:00,0.0068,2.4,28.2,46.6,55.04,127.0,2.0
2020/01/03,20:00:00,0.0029,3.8,29.8,53.0,52.11,136.0,1.0
2020/01/03,21:00:00,0.0026,5.5,26.5,63.1,49.95,139.0,2.0
2020/01/03,22:00:00,0.0031,2.4,19.7,75.1,46.78,138.0,1.0
2020/01/03,23:00:00,0.0041,1.4,18.3,82.4,45.31,129.0,2.0
2020/01/04,00:00:00,0.0035,2.3,15.100000000000001,84.0,43.91,143.0,1.0
2020/01/04,01:00:00,0.0044,1.5,14.5,89.0,42.33,121.0,2.0
2020/01/04,02:00:00,0.003,3.2,13.100000000000001,90.3,41.21,150.0,1.0
2020/01/04,03:00:00,0.0013,7.6,13.899999999999999,92.3,40.11,131.0,1.0
2020/01/04,04:00:00,0.0022,1.8,11.2,93.5,39.22,0.0,1.0
2020/01/04,05:00:00,0.0018,2.7,11.799999999999999,94.1,38.73,131.0,2.0
