date,time,ozone_lax,no_lax,no2_lax,RH_lax,TEMP_lax,WINDIR_lax,WINDSPEED_lax
2009-01-01,08:00,0,17,37,81,16.1,250,4.1
2009-01-01,09:00,0.001,66,49,90,14.4,250,3.6
2009-01-01,10:00,0,79,49,96,13.9,270,3.6
2009-01-01,11:00,0,55,46,96,13.9,999,0
2009-01-01,13:00,0,41,46,93,13.3,260,2.6
2009-01-01,14:00,0,36,41,999,999.9,300,3.1
2009-01-01,15:00,0,49,41,93,13.9,250,2.1
2009-01-01,16:00,0.001,61,40,96,12.8,10,1.5
2009-01-01,17:00,0.004,68,43,100,11.7,999,0
2009-01-01,18:00,0.008,64,49,999,999.9,100,1.5
2009-01-01,19:00,0.012,46,47,999,999.9,120,2.1
2009-01-01,20:00,0.018,19,30,999,999.9,999,0
2009-01-01,21:00,0.02,11,27,100,8.3,999,0
2009-01-01,22:00,0.018,12,39,999,999.9,999,0
2009-01-01,23:00,0.019,6,35,999,999.9,999,0
2009-01-02,00:00,0.016,1,32,100,7.8,80,1.5
2009-01-02,01:00,0.016,0,27,999,999.9,110,2.6
2009-01-02,02:00,0.02,0,19,999,999.9,100,2.1
2009-01-02,03:00,0.021,0,15,999,999.9,100,3.1
2009-01-02,04:00,0.015,0,21,999,999.9,200,2.6
2009-01-02,05:00,0.014,0,22,72,15,180,1.5
2009-01-02,06:00,0.01,0,28,999,999.9,240,4.6
2009-01-02,07:00,0,15,44,69,15,250,3.1
2009-01-02,08:00,0,25,43,67,15,270,2.6
2009-01-02,09:00,0,26,41,77,13.9,240,3.1
2009-01-02,10:00,0,24,42,77,13.3,240,4.1
2009-01-02,11:00,0,12,41,83,12.8,240,3.1
2009-01-02,13:00,0,13,43,999,999.9,120,1.5
2009-01-02,14:00,0,15,42,72,13.3,270,5.2
2009-01-02,15:00,0,20,41,69,13.3,250,5.2
2009-01-02,16:00,0.001,22,40,69,13.3,240,5.7
2009-01-02,17:00,0.002,26,41,69,12.8,260,4.1
2009-01-02,18:00,0.002,22,40,75,13.3,240,4.1
2009-01-02,19:00,0.005,17,41,89,10.6,270,14.4
2009-01-02,20:00,0.012,6,35,86,10.6,270,2.6
2009-01-02,21:00,0.026,2,24,92,10.6,260,3.1
2009-01-02,22:00,0.038,0,12,999,999.9,40,2.6
2009-01-02,23:00,0.039,0,10,93,10,60,2.1
2009-01-03,00:00,0.039,0,11,96,8.9,90,3.1
2009-01-03,01:00,0.039,0,12,96,8.9,50,2.1
2009-01-03,02:00,0.036,0,14,93,9.4,90,2.1
2009-01-03,03:00,0.033,0,15,80,11.7,90,2.1
2009-01-03,04:00,0.027,0,20,69,12.8,340,2.1
2009-01-03,05:00,0.016,0,30,59,13.9,330,4.1
2009-01-03,06:00,0.017,0,28,41,16.1,320,5.2
2009-01-03,07:00,0.03,0,18,62,13.9,260,6.2
2009-01-03,08:00,0.032,0,16,60,14.4,270,6.2
2009-01-03,09:00,0.031,0,16,40,15.6,300,6.2
2009-01-03,10:00,0.03,0,15,39,15,310,6.2
2009-01-03,11:00,0.027,0,16,40,13.3,310,4.6
2009-01-03,13:00,0.02,0,20,40,12.8,340,6.2
2009-01-03,14:00,0.014,0,23,37,12.2,320,6.2
2009-01-03,15:00,0.006,5,31,35,11.7,320,7.7
2009-01-03,16:00,0.011,9,28,36,11.7,340,8.8
2009-01-03,17:00,0.018,7,24,38,11.1,50,4.1
