date,time,ozone_la_lax,no_la_lax,no2_la_lax,RH_la_lax,TEMP_la_lax,WINDIR_la_lax,WINDSPEED_la_lax
2009/01/01,00:00:00,0.0,17.0,37.0,86.0,47.0,35.0,1.7
2009/01/01,01:00:00,0.001,66.0,49.0,86.0,48.0,109.0,0.9
2009/01/01,02:00:00,0.0,79.0,49.0,86.0,47.0,139.0,0.9
2009/01/01,03:00:00,0.0,55.0,46.0,86.0,47.0,232.0,0.9
2009/01/01,04:00:00,NA,NA,NA,86.0,48.0,313.0,0.9
2009/01/01,05:00:00,0.0,41.0,46.0,86.0,47.0,292.0,1.7
2009/01/01,06:00:00,0.0,36.0,41.0,86.0,47.0,55.0,3.5
2009/01/01,07:00:00,0.0,49.0,41.0,86.0,46.0,60.0,2.6
2009/01/01,08:00:00,0.001,61.0,40.0,86.0,46.0,105.0,1.7
2009/01/01,09:00:00,0.004,68.0,43.0,86.0,49.0,101.0,2.6
2009/01/01,10:00:00,0.008,64.0,49.0,84.0,51.0,201.0,3.5
2009/01/01,11:00:00,0.012,46.0,47.0,81.0,51.0,213.0,4.3
2009/01/01,12:00:00,0.018,19.0,30.0,73.0,54.0,238.0,4.3
2009/01/01,13:00:00,0.02,11.0,27.0,76.0,53.0,234.0,6.1
2009/01/01,14:00:00,0.018,12.0,39.0,79.0,52.0,240.0,6.1
2009/01/01,15:00:00,0.019,6.0,35.0,79.0,52.0,250.0,5.2
2009/01/01,16:00:00,0.016,1.0,32.0,81.0,51.0,229.0,4.3
2009/01/01,17:00:00,0.016,0.0,27.0,82.0,51.0,232.0,3.5
2009/01/01,18:00:00,0.02,0.0,19.0,83.0,51.0,226.0,3.5
2009/01/01,19:00:00,0.021,0.0,15.0,84.0,50.0,193.0,3.5
2009/01/01,20:00:00,0.015,0.0,21.0,85.0,50.0,238.0,1.7
2009/01/01,21:00:00,0.014,0.0,22.0,85.0,50.0,165.0,2.6
2009/01/01,22:00:00,0.01,0.0,28.0,85.0,49.0,243.0,1.7
2009/01/01,23:00:00,0.0,15.0,44.0,85.0,49.0,65.0,1.7
2009/01/02,00:00:00,0.0,25.0,43.0,85.0,49.0,121.0,1.7
2009/01/02,01:00:00,0.0,26.0,41.0,85.0,49.0,142.0,1.7
2009/01/02,02:00:00,0.0,24.0,42.0,85.0,48.0,93.0,2.6
2009/01/02,03:00:00,0.0,12.0,41.0,85.0,48.0,66.0,2.6
2009/01/02,04:00:00,NA,NA,NA,86.0,48.0,68.0,2.6
2009/01/02,05:00:00,0.0,13.0,43.0,86.0,48.0,14.0,1.7
2009/01/02,06:00:00,0.0,15.0,42.0,86.0,48.0,10.0,2.6
2009/01/02,07:00:00,0.0,20.0,41.0,86.0,48.0,14.0,2.6
2009/01/02,08:00:00,0.001,22.0,40.0,86.0,49.0,9.0,2.6
2009/01/02,09:00:00,0.002,26.0,41.0,85.0,49.0,37.0,2.6
2009/01/02,10:00:00,0.002,22.0,40.0,84.0,50.0,295.0,1.7
2009/01/02,11:00:00,0.005,17.0,41.0,83.0,51.0,152.0,1.7
2009/01/02,12:00:00,0.012,6.0,35.0,80.0,52.0,272.0,1.7
2009/01/02,13:00:00,0.026,2.0,24.0,77.0,52.0,216.0,2.6
2009/01/02,14:00:00,0.038,0.0,12.0,76.0,52.0,237.0,4.3
2009/01/02,15:00:00,0.039,0.0,10.0,75.0,52.0,236.0,3.5
2009/01/02,16:00:00,0.039,0.0,11.0,74.0,52.0,225.0,2.6
2009/01/02,17:00:00,0.039,0.0,12.0,73.0,52.0,182.0,2.6
2009/01/02,18:00:00,0.036,0.0,14.0,71.0,52.0,204.0,1.7
2009/01/02,19:00:00,0.033,0.0,15.0,71.0,52.0,215.0,0.9
2009/01/02,20:00:00,0.027,0.0,20.0,71.0,52.0,31.0,1.7
2009/01/02,21:00:00,0.016,0.0,30.0,70.0,52.0,133.0,2.6
2009/01/02,22:00:00,0.017,0.0,28.0,69.0,52.0,107.0,2.6
2009/01/02,23:00:00,0.03,0.0,18.0,70.0,52.0,104.0,2.6
2009/01/03,00:00:00,0.032,0.0,16.0,76.0,51.0,119.0,3.5
2009/01/03,01:00:00,0.031,0.0,16.0,81.0,50.0,79.0,3.5
2009/01/03,02:00:00,0.03,0.0,15.0,82.0,50.0,68.0,3.5
2009/01/03,03:00:00,0.027,0.0,16.0,81.0,50.0,73.0,3.5
2009/01/03,04:00:00,NA,NA,NA,80.0,50.0,74.0,3.5
2009/01/03,05:00:00,0.02,0.0,20.0,79.0,50.0,37.0,2.6
2009/01/03,06:00:00,0.014,0.0,23.0,79.0,49.0,65.0,2.6
